Date,Price,Open,High,Low,Vol.,Change %
2017-12-01,36620.0,36847.0,37075.0,36392.0,2.66M,-0.41%
2017-12-04,37454.0,36772.0,37454.0,36620.0,2.48M,2.28%
2017-12-05,36468.0,37151.0,37909.0,36468.0,2.52M,-2.63%
2017-12-06,36392.0,36392.0,36620.0,35710.0,2.68M,-0.21%
2017-12-07,36089.0,36392.0,36392.0,35407.0,3.49M,-0.83%
2017-12-08,35672.0,36089.0,36089.0,35255.0,1.94M,-1.16%
2017-12-11,33815.0,34876.0,35558.0,33815.0,1.85M,-5.21%
2017-12-12,33891.0,34345.0,34421.0,31540.0,3.11M,0.22%
2017-12-13,33360.0,34118.0,34194.0,33132.0,1.50M,-1.57%
2017-12-14,34345.0,33360.0,34497.0,33284.0,2.76M,2.95%
2017-12-15,34876.0,34345.0,35255.0,34270.0,3.28M,1.55%
2017-12-18,36241.0,35634.0,36544.0,35331.0,3.00M,3.91%
2017-12-19,36203.0,36317.0,36734.0,35900.0,2.50M,-0.10%
2017-12-20,37151.0,36203.0,37416.0,35938.0,3.30M,2.62%
2017-12-21,36772.0,37151.0,37302.0,36772.0,1.97M,-1.02%
2017-12-22,38515.0,36544.0,38515.0,36430.0,5.69M,4.74%
2017-12-25,38970.0,38667.0,39198.0,38515.0,1.90M,1.18%
2017-12-26,38970.0,39046.0,39198.0,38288.0,2.17M,0.00%
2017-12-27,39804.0,38970.0,40032.0,38743.0,2.83M,2.14%
2017-12-28,41017.0,39804.0,41624.0,39804.0,2.96M,3.05%
2017-12-29,41169.0,40942.0,41700.0,40866.0,3.51M,0.37%
2018-01-02,41700.0,40942.0,42003.0,40638.0,3.57M,1.29%
2018-01-03,41624.0,42079.0,42230.0,41321.0,2.35M,-0.18%
2018-01-04,42003.0,41396.0,42003.0,41169.0,2.54M,0.91%
2018-01-05,40942.0,41776.0,41776.0,40866.0,2.61M,-2.53%
2018-01-08,42003.0,40942.0,42079.0,40183.0,2.64M,2.59%
2018-01-09,44353.0,42458.0,44353.0,41321.0,3.64M,5.59%
2018-01-10,43974.0,44202.0,44884.0,43444.0,3.63M,-0.85%
2018-01-11,44581.0,43595.0,44581.0,43368.0,2.25M,1.38%
2018-01-12,43974.0,44581.0,45036.0,43974.0,3.22M,-1.36%
2018-01-15,45491.0,43974.0,45491.0,43216.0,2.63M,3.45%
2018-01-16,45491.0,44960.0,45718.0,44581.0,2.83M,0.00%
2018-01-17,42610.0,45339.0,45415.0,42610.0,2.65M,-6.33%
2018-01-18,44353.0,42458.0,44353.0,42382.0,3.63M,4.09%
2018-01-19,46249.0,44429.0,46552.0,44202.0,3.83M,4.27%
2018-01-22,47993.0,47007.0,48068.0,46780.0,2.94M,3.77%
2018-01-25,51329.0,49661.0,51329.0,48372.0,6.11M,6.95%
2018-01-26,52390.0,52617.0,53072.0,50419.0,3.34M,2.07%
2018-01-29,51556.0,53072.0,54210.0,51404.0,2.91M,-1.59%
2018-01-30,50798.0,50419.0,51404.0,50191.0,3.60M,-1.47%
2018-01-31,50495.0,50798.0,52238.0,50191.0,2.47M,-0.60%
2018-02-01,50495.0,50343.0,51404.0,49888.0,2.76M,0.00%
2018-02-02,51101.0,51177.0,51177.0,50495.0,2.11M,1.20%
2018-02-05,47538.0,50040.0,50798.0,47538.0,3.43M,-6.97%
2018-02-06,47007.0,44278.0,47765.0,44278.0,8.58M,-1.12%
2018-02-07,48144.0,49281.0,49433.0,47614.0,2.09M,2.42%
2018-02-08,47689.0,47462.0,48144.0,46628.0,1.09M,-0.95%
2018-02-09,46173.0,44353.0,47234.0,44353.0,3.07M,-3.18%
2018-02-12,48144.0,47007.0,48144.0,46021.0,2.36M,4.27%
2018-02-13,48523.0,48751.0,49206.0,48220.0,1.95M,0.79%
2018-02-21,50191.0,49281.0,51480.0,48902.0,2.72M,3.44%
2018-02-22,50646.0,49736.0,51101.0,49585.0,3.00M,0.91%
2018-02-23,54134.0,50798.0,54134.0,50570.0,6.16M,6.89%
2018-02-26,54513.0,56333.0,56333.0,54134.0,4.41M,0.70%
2018-02-27,55499.0,55271.0,55726.0,54361.0,2.87M,1.81%
2018-02-28,55953.0,54665.0,56863.0,54589.0,4.43M,0.82%
